epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
140,56488.3,0.24024,0.76376,0.99841,1.93855,0.016239,0.005413,0.016239,0.005413,0.016239,0.005413,0.016239,0.005413
141,56813.5,0.24175,0.76342,0.99841,1.92336,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
142,56991.9,0.22651,0.76342,0.99841,1.92305,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
143,57143.2,0.23533,0.76376,0.99841,1.91858,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
144,57313,0.22208,0.76359,0.99841,1.93345,0.015843,0.005281,0.015843,0.005281,0.015843,0.005281,0.015843,0.005281
145,57472.5,0.22644,0.76359,0.99841,1.92244,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
146,57671,0.2293,0.76376,0.99833,1.91914,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
147,57850.4,0.23882,0.76376,0.99824,1.92145,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
148,58027.4,0.21977,0.76434,0.99824,1.92375,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
149,58208.2,0.22491,0.76434,0.99816,1.9302,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
150,58388,0.20968,0.76434,0.99816,1.92305,0.015249,0.005083,0.015249,0.005083,0.015249,0.005083,0.015249,0.005083
151,58566.4,0.20895,0.76443,0.99824,1.93087,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
152,58748.1,0.21144,0.76468,0.99824,1.91829,0.015051,0.005017,0.015051,0.005017,0.015051,0.005017,0.015051,0.005017
153,58916.2,0.2223,0.76459,0.99824,1.92049,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
154,59098.5,0.21032,0.76468,0.99824,1.9217,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
155,59271.3,0.21033,0.76468,0.99824,1.92621,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
156,59430,0.21346,0.76468,0.99824,1.92778,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
157,60539.2,0.22823,0.76501,0.99824,1.92614,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
158,60994.6,0.20223,0.76509,0.99824,1.92484,0.014457,0.004819,0.014457,0.004819,0.014457,0.004819,0.014457,0.004819
159,61171.2,0.21416,0.76526,0.99824,1.92333,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
160,61357.1,0.2037,0.76518,0.99824,1.92924,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
161,61531.2,0.21009,0.76451,0.99824,1.91679,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
162,61744.8,0.19761,0.76459,0.99824,1.93152,0.014061,0.004687,0.014061,0.004687,0.014061,0.004687,0.014061,0.004687
163,61940.5,0.20306,0.76468,0.99824,1.93115,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
164,62148.3,0.19807,0.76417,0.99824,1.92967,0.013863,0.004621,0.013863,0.004621,0.013863,0.004621,0.013863,0.004621
165,62323.2,0.20602,0.76468,0.99824,1.9518,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
166,62497.2,0.20073,0.76459,0.99824,1.94921,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
167,62657.3,0.19849,0.76451,0.99833,1.94253,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
168,62810.4,0.19958,0.76443,0.99833,1.9574,0.013467,0.004489,0.013467,0.004489,0.013467,0.004489,0.013467,0.004489
169,62973.5,0.18779,0.76484,0.99833,1.9624,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
170,63248,0.19353,0.76484,0.99833,1.95437,0.013269,0.004423,0.013269,0.004423,0.013269,0.004423,0.013269,0.004423
171,63341.6,0.18212,0.76459,0.99833,1.95774,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
172,63435.6,0.1843,0.76367,0.99824,1.96138,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
173,63533.5,0.18207,0.76409,0.99816,1.95573,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
174,63629.3,0.18589,0.76384,0.99816,1.96134,0.012873,0.004291,0.012873,0.004291,0.012873,0.004291,0.012873,0.004291
175,63863.6,0.19108,0.76367,0.99816,1.96151,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
176,63957.2,0.19033,0.76367,0.99816,1.96957,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
177,64130.1,0.17668,0.76367,0.99816,1.96547,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
178,64857.7,0.17674,0.76359,0.99816,1.97143,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
179,64950.4,0.18653,0.763,0.99816,1.97158,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
180,65045.3,0.17645,0.763,0.99816,1.97464,0.012279,0.004093,0.012279,0.004093,0.012279,0.004093,0.012279,0.004093
181,65142,0.17447,0.76292,0.99816,1.97941,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
182,65239.3,0.16399,0.76317,0.99816,1.98072,0.012081,0.004027,0.012081,0.004027,0.012081,0.004027,0.012081,0.004027
183,65333.9,0.16918,0.76325,0.99816,1.99075,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
184,65432.2,0.16959,0.76284,0.99808,1.97864,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
