epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,12861.4,0.97226,0.76707,0.99473,0.63909,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,12937.3,0.96634,0.76828,0.99514,0.63389,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,13011.1,0.95796,0.7695,0.99554,0.63242,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,13356.9,0.97223,0.77213,0.99514,0.63033,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,13585.4,0.96601,0.77253,0.99554,0.62804,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,13786.1,0.95352,0.77132,0.99575,0.62464,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,13868.4,0.94953,0.77152,0.99595,0.62152,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,13948.3,0.94134,0.77395,0.99554,0.61529,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,14031,0.94054,0.77476,0.99595,0.61298,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,14111.6,0.94172,0.7778,0.99575,0.60838,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,14192.7,0.93115,0.77638,0.99575,0.60917,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,14268.3,0.93562,0.77719,0.99595,0.60473,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,14341.9,0.92433,0.77983,0.99615,0.60048,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,14415.4,0.92342,0.77983,0.99615,0.60085,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,14489.2,0.92114,0.78205,0.99615,0.59551,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,14563,0.91818,0.78367,0.99615,0.59465,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,14636.5,0.90698,0.78489,0.99595,0.59216,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,14721.5,0.91087,0.78651,0.99595,0.5904,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,14796.1,0.90597,0.78671,0.99575,0.58727,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,15169.4,0.90322,0.78712,0.99595,0.58404,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,15247,0.90592,0.78752,0.99575,0.58133,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,15325,0.90335,0.78935,0.99575,0.58082,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,15401.2,0.87784,0.79016,0.99575,0.57714,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
